ambient,coolant,u_d,u_q,motor_speed,torque,i_d,i_q,pm,stator_yoke,stator_tooth,stator_winding,profile_id
27.483570765056164,63.99355436586002,-33.758913748719074,-7.23422673632173,2136.506395035066,41.524806359545934,-133.42244074699263,123.5555524693113,87.96217124959242,64.18482587216019,49.17956850366612,47.32730468998585,10
24.308678494144075,59.246336829127685,-7.225933535775892,24.188449676614944,2968.796511060916,40.93171783232292,-118.9279250121337,46.66957112889396,84.71276327074318,67.88095242892534,54.02850698030251,71.49275603779961,13
28.23844269050346,50.59630369920174,-39.62099604999806,37.591833997350676,3018.0168720444467,14.087136547399702,-128.26180550722734,121.44236949666835,92.06500753310108,60.984278945626535,50.23404620641314,81.66129758621963,9
32.61514928204013,43.53063222294426,-15.398076481952014,106.63062972020572,3472.630345843406,43.39819616597126,-116.43987456223414,92.98827826444824,91.08995326843475,31.69002770845876,59.43543461029955,76.32777460705915,6
23.829233126383322,56.982233136135896,-94.68073334768928,66.69659373601274,1633.1416367191737,64.65658163643491,-106.42450932133566,121.22373132593142,79.00044027759074,53.13493080966688,73.56332090900486,81.26716287285932,15
23.8293152152541,53.934853854217494,10.664685368646929,9.935552927003258,3592.5672738473304,24.515357618464098,-74.88536541005847,123.30795077064487,97.92982362641051,41.13150910099702,47.97645195716434,61.82165703202636,16
32.896064077536955,58.95193220027733,0.060273768111211844,64.58108868252911,295.6083683972247,70.96965302101185,-109.63477116117107,148.2374518335747,76.49565491541885,52.56873072498311,71.01066647098938,58.00071547736532,5
28.837173645764544,56.351718016819696,-40.85443155340953,3.5808803318490376,2370.11544763619,59.755496421686765,-147.56877120308778,140.6036094286361,90.02718759594418,66.76005083360673,47.83826305949046,53.946479716523015,13
22.65262807032524,60.49552715319335,32.962283421620256,82.48073161661219,2511.7261575484554,35.31533356057924,-65.79796460514518,140.39714987830888,89.89686611673241,58.66181003049967,46.980846237540504,64.16155300079606,19
27.712800217929825,44.64764788439432,46.87850688132792,35.86626044546364,3633.3268260712384,47.16940725324305,-125.11270400845119,143.31010957498717,98.87017594781891,68.7770903967692,68.64173003846177,63.82113806046771,2
22.682911535937688,63.173940656343255,-80.37799321844871,47.19091433782487,3022.630852676869,81.96643615282066,-101.76161281313887,108.74136954447837,90.00067391149078,59.10104704856247,69.98517291409902,68.10016442808674,6
22.671351232148716,51.975996046923996,-38.13623892831071,89.7738994262657,1594.4369461437134,64.67095627011732,-86.60390479177866,100.9655526111052,75.46820201232092,39.420088723973166,69.0683291779145,63.06053814446738,1
26.20981135783017,70.75260872625265,-38.45711748936491,11.385092942472504,2015.0068741829848,50.17567309796296,-94.01168744791651,126.18451249535003,86.98771593190801,24.749835921127186,40.89463369316417,62.99558405409843,15
15.43359877671101,43.10812181910432,-46.995155055443234,8.086454446610261,3198.680009547407,45.246333660780316,-67.17461357435573,121.96242854299066,84.44636117872653,56.78570514015509,51.94263728506334,53.34958920541784,15
16.375410837434835,67.3596380316525,41.47374209658742,32.49202020961985,2920.9326581354435,51.53218140903319,-85.62990569821723,90.7280128978522,86.40809764796403,52.43288240378602,68.69885169604318,79.12428520327236,14
22.188562353795135,51.979107834626475,-9.691306938640176,81.1513655305795,2420.875890364254,39.76472884115393,-125.83928739091324,112.14470226424804,81.97935544068694,43.276651127417416,58.54004392733063,66.14777093365566,7
19.93584439832788,43.48581996385552,-13.225742065530538,4.419617735694729,2519.1662104880206,7.905009885619705,-34.64313478025015,98.94710599646217,77.12722271551291,34.59247300418346,44.04199299943296,62.383340985720764,5
26.571236662976368,45.16114165945678,-100.19311822033768,-34.96466794331707,3696.167997159289,90.84355821069462,-94.16999609985301,74.38201274619831,91.66431930191334,46.18308143832749,63.95813320863074,53.78856120126193,16
20.459879622393945,46.7965269180568,31.770901510461318,36.46523424773004,2482.307427130785,53.10649998398803,-104.42020679864518,138.7138222412905,82.77013741233718,52.66610218162269,48.707505633110884,45.02130334413371,17
17.938481493323543,54.241659464019165,-61.96291974267363,66.55222399732762,2911.908755970927,57.96294530245074,-71.08223730833288,101.65597727590267,84.16300508911345,62.99053388447668,81.32882302909876,84.61946288824015,11
32.32824384460777,55.228354880355,2.9966315133164128,86.00785249216489,5169.936588080543,48.841845002461824,-92.51647162209784,161.4612477309655,121.55776895000537,57.26357297881576,78.08293901143736,73.31958062197711,15
23.871118497567323,44.26299996061421,13.868846897909584,36.10515913743803,1576.3173631160769,35.29766398550824,-88.02315421182018,51.23523189400502,66.25273343323693,74.29680696607275,65.85326654262238,40.64123236145049,16
25.33764102343962,49.756454077390174,68.03292979193255,37.65720178651993,1148.1572684253413,46.28151038102459,-25.234480041979396,83.29663681469901,66.29872120823953,42.572751327455265,75.69308716200706,76.44713451064486,3
17.87625906893272,71.42270358611864,-65.44101995595561,84.61702202767242,3783.5896647986065,18.012104756113775,-108.2536428476514,100.97916510072615,96.7716725942089,65.5727067046892,58.84228755160395,78.83721755349664,6
